# COLUMN pl_hostname:    Host Name																																																																																																																																							
# COLUMN pl_letter:      Planet Letter																																																																																																																																							
# COLUMN pl_discmethod:  Discovery Method																																																																																																																																							
# COLUMN pl_pnum:        Number of Planets in System																																																																																																																																							
# COLUMN pl_orbper:      Orbital Period [days]																																																																																																																																							
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [AU]																																																																																																																																							
# COLUMN pl_orbeccen:    Eccentricity																																																																																																																																							
# COLUMN pl_orbincl:     Inclination [deg]																																																																																																																																							
# COLUMN pl_bmassj:      Planet Mass or M*sin(i)[Jupiter mass]																																																																																																																																							
# COLUMN pl_bmassprov:   Planet Mass or M*sin(i) Provenance																																																																																																																																							
# COLUMN pl_radj:        Planet Radius [Jupiter radii]																																																																																																																																							
# COLUMN pl_dens:        Planet Density [g/cm**3]																																																																																																																																							
# COLUMN pl_ttvflag:     TTV Flag																																																																																																																																							
# COLUMN pl_kepflag:     Kepler Field Flag																																																																																																																																							
# COLUMN pl_k2flag:      K2 Mission Flag																																																																																																																																							
# COLUMN pl_nnotes:      Number of Notes																																																																																																																																							
# COLUMN ra_str:         RA [sexagesimal]																																																																																																																																							
# COLUMN ra:             RA [sexagesimal]																																																																																																																																							
# COLUMN dec_str:        Dec [sexagesimal]																																																																																																																																							
# COLUMN dec:            Dec [sexagesimal]																																																																																																																																							
# COLUMN st_dist:        Distance [pc]																																																																																																																																							
# COLUMN st_optmag:      Optical Magnitude [mag]																																																																																																																																							
# COLUMN st_optband:     Optical Magnitude Band																																																																																																																																							
# COLUMN st_teff:        Effective Temperature [K]																																																																																																																																							
# COLUMN st_mass:        Stellar Mass [Solar mass]																																																																																																																																							
# COLUMN st_rad:         Stellar Radius [Solar radii]																																																																																																																																							
# COLUMN rowupdate:      Date of Last Update																																																																																																																																							
# COLUMN pl_name:        Planet Name																																																																																																																																							
# COLUMN pl_tranflag:    Planet Transit Flag																																																																																																																																							
# COLUMN pl_rvflag:      Planet RV Flag																																																																																																																																							
# COLUMN pl_imgflag:     Planet Imaging Flag																																																																																																																																							
# COLUMN pl_astflag:     Planet Astrometry Flag																																																																																																																																							
# COLUMN pl_omflag:      Planet Orbital Modulation Flag																																																																																																																																							
# COLUMN pl_cbflag:      Planet Circumbinary Flag																																																																																																																																							
# COLUMN pl_orbtper:     Time of Periastron [days]																																																																																																																																							
# COLUMN pl_orblper:     Long. of Periastron [deg]																																																																																																																																							
# COLUMN pl_rvamp:       Radial Velocity Amplitude [m/s]																																																																																																																																							
# COLUMN pl_eqt:         Equilibrium Temperature [K]																																																																																																																																							
# COLUMN pl_insol:       Insolation Flux [Earth flux]																																																																																																																																							
# COLUMN pl_massj:       Planet Mass [Jupiter mass]																																																																																																																																							
# COLUMN pl_msinij:      Planet M*sin(i) [Jupiter mass]																																																																																																																																							
# COLUMN pl_masse:       Planet Mass [Earth mass]																																																																																																																																							
# COLUMN pl_msinie:      Planet M*sin(i) [Earth mass]																																																																																																																																							
# COLUMN pl_bmasse:      Planet Mass or M*sin(i) [Earth mass]																																																																																																																																							
# COLUMN pl_rade:        Planet Radius [Earth radii]																																																																																																																																							
# COLUMN pl_rads:        Planet Radius [Solar radii]																																																																																																																																							
# COLUMN pl_trandep:     Transit Depth [percent]																																																																																																																																							
# COLUMN pl_trandur:     Transit Duration [days]																																																																																																																																							
# COLUMN pl_tranmid:     Transit Midpoint [days]																																																																																																																																							
# COLUMN pl_tsystemref:  Time System Reference																																																																																																																																							
# COLUMN pl_imppar:      Impact Parameter																																																																																																																																							
# COLUMN pl_occdep:      Occultation Depth [percentage]																																																																																																																																							
# COLUMN pl_ratdor:      Ratio of Distance to Stellar Radius																																																																																																																																							
# COLUMN pl_ratror:      Ratio of Planet to Stellar Radius																																																																																																																																							
# COLUMN pl_def_reflink: Default Reference																																																																																																																																							
# COLUMN pl_disc:        Year of Discovery																																																																																																																																							
# COLUMN pl_disc_reflink: Discovery Reference																																																																																																																																							
# COLUMN pl_locale:      Discovery Locale																																																																																																																																							
# COLUMN pl_facility:    Discovery Facility																																																																																																																																							
# COLUMN pl_telescope:   Discovery Telescope																																																																																																																																							
# COLUMN pl_instrument:  Discovery Instrument																																																																																																																																							
# COLUMN pl_status:      Status																																																																																																																																							
# COLUMN pl_mnum:        Number of Moons in System																																																																																																																																							
# COLUMN pl_st_npar:     Number of Stellar and Planet Parameters																																																																																																																																							
# COLUMN pl_st_nref:     Number of Stellar and Planet References																																																																																																																																							
# COLUMN pl_pelink:      Link to Exoplanet Encyclopaedia																																																																																																																																							
# COLUMN pl_edelink:     Link to Exoplanet Data Explorer																																																																																																																																							
# COLUMN pl_publ_date:   Publication Date																																																																																																																																							
# COLUMN hd_name:        HD Name																																																																																																																																							
# COLUMN hip_name:       HIP Name																																																																																																																																							
# COLUMN st_rah:         RA [hrs]																																																																																																																																							
# COLUMN st_glon:        Galactic Longitude [deg]																																																																																																																																							
# COLUMN st_glat:        Galactic Latitude [deg]																																																																																																																																							
# COLUMN st_elon:        Ecliptic Longitude [deg]																																																																																																																																							
# COLUMN st_elat:        Ecliptic Latitude [deg]																																																																																																																																							
# COLUMN st_plx:         Parallax [mas]																																																																																																																																							
# COLUMN st_pmra:        Proper Motion (RA) [mas/yr]																																																																																																																																							
# COLUMN st_pmdec:       Proper Motion (Dec) [mas/yr]																																																																																																																																							
# COLUMN st_pm:          Total Proper Motion [mas/yr]																																																																																																																																							
# COLUMN st_radv:        Radial Velocity [km/s]																																																																																																																																							
# COLUMN st_sp:          Spectral Type																																																																																																																																							
# COLUMN st_spstr:       Spectral Type																																																																																																																																							
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]																																																																																																																																							
# COLUMN st_lum:         Stellar Luminosity [log(Solar)]																																																																																																																																							
# COLUMN st_dens:        Stellar Density [g/cm**3]																																																																																																																																							
# COLUMN st_metfe:       Stellar Metallicity [dex]																																																																																																																																							
# COLUMN st_metratio:    Metallicity Ratio																																																																																																																																							
# COLUMN st_age:         Stellar Age [Gyr]																																																																																																																																							
# COLUMN st_vsini:       Rot. Velocity V*sin(i) [km/s]																																																																																																																																							
# COLUMN st_acts:        Stellar Activity S-index																																																																																																																																							
# COLUMN st_actr:        Stellar Activity log(RHK)																																																																																																																																							
# COLUMN st_actlx:       X-ray Activity log(L<sub>x</sub>)																																																																																																																																							
# COLUMN swasp_id:       SWASP Identifier																																																																																																																																							
# COLUMN st_nts:         Number of Time Series																																																																																																																																							
# COLUMN st_nplc:        Number of Planet Transit Light Curves																																																																																																																																							
# COLUMN st_nglc:        Number of General Light Curves																																																																																																																																							
# COLUMN st_nrvc:        Number of Radial Velocity Time Series																																																																																																																																							
# COLUMN st_naxa:        Number of Amateur Light Curves																																																																																																																																							
# COLUMN st_nimg:        Number of Images																																																																																																																																							
# COLUMN st_nspec:       Number of Spectra																																																																																																																																							
# COLUMN st_uj:          U-band (Johnson) [mag]																																																																																																																																							
# COLUMN st_vj:          V-band (Johnson) [mag]																																																																																																																																							
# COLUMN st_bj:          B-band (Johnson) [mag]																																																																																																																																							
# COLUMN st_rc:          R-band (Cousins) [mag]																																																																																																																																							
# COLUMN st_ic:          I-band (Cousins) [mag]																																																																																																																																							
# COLUMN st_j:           J-band (2MASS) [mag]																																																																																																																																							
# COLUMN st_h:           H-band (2MASS) [mag]																																																																																																																																							
# COLUMN st_k:           Ks-band (2MASS) [mag]																																																																																																																																							
# COLUMN st_wise1:       WISE 3.4um [mag]																																																																																																																																							
# COLUMN st_wise2:       WISE 4.6um [mag]																																																																																																																																							
# COLUMN st_wise3:       WISE 12.um [mag]																																																																																																																																							
# COLUMN st_wise4:       WISE 22.um [mag]																																																																																																																																							
# COLUMN st_irac1:       IRAC 3.6um [mag]																																																																																																																																							
# COLUMN st_irac2:       IRAC 4.5um [mag]																																																																																																																																							
# COLUMN st_irac3:       IRAC 5.8um [mag]																																																																																																																																							
# COLUMN st_irac4:       IRAC 8.0um [mag]																																																																																																																																							
# COLUMN st_mips1:       MIPS 24um [mag]																																																																																																																																							
# COLUMN st_mips2:       MIPS 70um [mag]																																																																																																																																							
# COLUMN st_mips3:       MIPS 160um [mag]																																																																																																																																							
# COLUMN st_iras1:       IRAS 12um Flux [Jy]																																																																																																																																							
# COLUMN st_iras2:       IRAS 25um Flux [Jy]																																																																																																																																							
# COLUMN st_iras3:       IRAS 60um Flux [Jy]																																																																																																																																							
# COLUMN st_iras4:       IRAS 100um Flux [Jy]																																																																																																																																							
# COLUMN st_photn:       Number of Photometry Measurements																																																																																																																																							
# COLUMN st_umbj:        U-B (Johnson) [mag]																																																																																																																																							
# COLUMN st_bmvj:        B-V (Johnson) [mag]																																																																																																																																							
# COLUMN st_vjmic:       V-I (Johnson-Cousins) [mag]																																																																																																																																							
# COLUMN st_vjmrc:       V-R (Johnson-Cousins) [mag]																																																																																																																																							
# COLUMN st_jmh2:        J-H (2MASS) [mag]																																																																																																																																							
# COLUMN st_hmk2:        H-Ks (2MASS) [mag]																																																																																																																																							
# COLUMN st_jmk2:        J-Ks (2MASS) [mag]																																																																																																																																							
# COLUMN st_bmy:         b-y (Stromgren) [mag]																																																																																																																																							
# COLUMN st_m1:          m1 (Stromgren) [mag]																																																																																																																																							
# COLUMN st_c1:          c1 (Stromgren) [mag]																																																																																																																																							
# COLUMN st_colorn:      Number of Color Measurements																																																																																																																																							
#																																																																																																																																							
rowid	pl_hostname	pl_letter	pl_discmethod	pl_pnum	pl_orbper	pl_orbsmax	pl_orbeccen	pl_orbincl	pl_bmassj	pl_bmassprov	pl_radj	pl_dens	pl_ttvflag	pl_kepflag	pl_k2flag	pl_nnotes	ra_str	ra	dec_str	dec	st_dist	st_optmag	st_optband	st_teff	st_mass	st_rad	rowupdate	pl_name	pl_tranflag	pl_rvflag	pl_imgflag	pl_astflag	pl_omflag	pl_cbflag	pl_orbtper	pl_orblper	pl_rvamp	pl_eqt	pl_insol	pl_massj	pl_msinij	pl_masse	pl_msinie	pl_bmasse	pl_rade	pl_rads	pl_trandep	pl_trandur	pl_tranmid	pl_tsystemref	pl_imppar	pl_occdep	pl_ratdor	pl_ratror	pl_def_reflink	pl_disc	pl_disc_reflink	pl_locale	pl_facility	pl_telescope	pl_instrument	pl_status	pl_mnum	pl_st_npar	pl_st_nref	pl_pelink	pl_edelink	pl_publ_date	hd_name	hip_name	st_rah	st_glon	st_glat	st_elon	st_elat	st_plx	st_pmra	st_pmdec	st_pm	st_radv	st_sp	st_spstr	st_logg	st_lum	st_dens	st_metfe	st_metratio	st_age	st_vsini	st_acts	st_actr	st_actlx	swasp_id	st_nts	st_nplc	st_nglc	st_nrvc	st_naxa	st_nimg	st_nspec	st_uj	st_vj	st_bj	st_rc	st_ic	st_j	st_h	st_k	st_wise1	st_wise2	st_wise3	st_wise4	st_irac1	st_irac2	st_irac3	st_irac4	st_mips1	st_mips2	st_mips3	st_iras1	st_iras2	st_iras3	st_iras4	st_photn	st_umbj	st_bmvj	st_vjmic	st_vjmrc	st_jmh2	st_hmk2	st_jmk2	st_bmy	st_m1	st_c1	st_colorn
1	11 Com	b	Radial Velocity	1	326.03	1.29	0.23		19.4	Msini			0	0	0	0	12h20m43.03s	185.18	+17d47m34.3s	17.79	110.62	4.74	V (Johnson)	4742	2.7	19	2014-05-14	11 Com b	0	1	0	0	0	0	2452899.6	94.8	302.8				19.4		6165.6	6165.6											<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2008ApJ...672..553L target=ref> Liu et al. 2008 </a>	2007	<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2008ApJ...672..553L target=ref> Liu et al. 2008 </a>	Ground	Xinglong Station	2.16 m Telescope	Coude Echelle Spectrograph	3	0	24	18	http://exoplanet.eu/catalog/11_com_b/	http://exoplanets.org/detail/11_Com_b	2008-01	HD 107383	HIP 60202	12.35	264.14	78.28	177.42	18.33	9.04	-108.8	90.5	141.5		5	K0 III	2.31	2.24		-0.35	[Fe/H]		1.2					3	0	1	2	0	3	0	6.54	4.74	5.75			2.94	2.48	2.28	0.64	0.73	2.36	2.27								1.829e+00	1.867e+00	1.184e+00	-9.160e-01	19	0.79	1.01			0.46	0.2	0.66				7
2	11 UMi	b	Radial Velocity	1	516.22	1.54	0.08		10.5	Msini			0	0	0	0	15h17m05.89s	229.27	+71d49m26.0s	71.82	119.47	5.02	V (Johnson)	4340	1.8	24.08	2014-05-14	11 UMi b	0	1	0	0	0	0	2452861.04	117.63	189.7				10.5		3337.07	3337.07											<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2009A&A...505.1311D target=ref> Dollinger et al. 2009 </a>	2009	<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2009A&A...505.1311D target=ref> Dollinger et al. 2009 </a>	Ground	Thueringer Landessternwarte Tautenburg	2.0 m Alfred Jensch Telescope	Coude Echelle Spectrograph	3	0	20	16	http://exoplanet.eu/catalog/11_umi_b/	http://exoplanets.org/detail/11_UMi_b	2009-10	HD 136726	HIP 74793	15.28	108.72	41.04	141.65	74.96	8.37	6.1	8.3	10.3		5.4	K4 III	1.6			0.04	[Fe/H]	1.56	1.5					2	0	1	1	0	3	0		5.02	6.39			2.88	2.09	1.94	-0.29	0.14	1.89	1.79								1.339e+00	1.351e+00	1.184e+00	-9.160e-01	16		1.37			0.79	0.15	0.94				5
3	14 And	b	Radial Velocity	1	185.84	0.83	0		4.8	Msini			0	0	0	0	23h31m17.42s	352.82	+39d14m10.3s	39.24	76.39			4813	2.2	11	2014-05-14	14 And b	0	1	0	0	0	0	2452861.4	0	100				4.8		1525.5	1525.5											<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2008PASJ...60.1317S target=ref> Sato et al. 2008 </a>	2008	<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2008PASJ...60.1317S target=ref> Sato et al. 2008 </a>	Ground	Okayama Astrophysical Observatory	1.88 m Telescope	HIDES Echelle Spectrograph	3	0	25	21	http://exoplanet.eu/catalog/14_and_b/	http://exoplanets.org/detail/14_And_b	2008-12	HD 221345	HIP 116076	23.52	106.41	-21.05	11.96	38.23	13.09	287.7	-83.6	299.6		4.8	G8 III	2.63	1.76		-0.24	[Fe/H]		2.6	0.1				2	0	1	1	0	3	0	7.1		6.24			3.02	2.61	2.33	1.59	2.55	2.72	2.72								2.198e+00	2.317e+00	1.184e+00	-9.160e-01	20	0.86	1.02			0.41	0.28	0.69				7
4	14 Her	b	Radial Velocity	1	1773.4	2.77	0.37		4.64	Msini			0	0	0	0	16h10m24.31s	242.6	+43d49m03.5s	43.82	18.15	6.61	V (Johnson)	5311	0.9		2014-05-14	14 Her b	0	1	0	0	0	0	2451372.7	22.6	90				4.64		1474.67	1474.67											<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2007ApJ...654..625W target=ref> Wittenmyer et al. 2007 </a>	2002	<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2003ApJ...582..455B target=ref> Butler et al. 2003 </a>	Ground	W. M. Keck Observatory	10 m Keck I Telescope	HIRES Spectrometer	3	0	62	35	http://exoplanet.eu/catalog/14_her_b/	http://exoplanets.org/detail/14_Her_b	2003-01	HD 145675	HIP 79248	16.17	69.17	46.94	223.25	62.88	55.11	132.6	-297	325.3		5	K0 V				0.43	[Fe/H]		1.6	0.16	-5.06			5	0	1	4	0	4	1		6.61	7.49			5.16	4.8	4.71	4.68	4.54	4.72	4.67					4.729e+00	4.624e+00		4.213e+00	3.575e+00	1.184e+00	-9.160e-01	24		0.88			0.36	0.09	0.44	0.54	0.37	0.44	9
5	16 Cyg B	b	Radial Velocity	1	798.5	1.68	0.68		1.68	Msini			0	0	0	0	19h41m51.97s	295.47	+50d31m03.1s	50.52	21.41	6.25	V (Johnson)	5674	0.99		2015-09-10	16 Cyg B b	0	1	0	0	0	0	2446549.1	85.8	50.5				1.68		533.95	533.95						JD					<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2006ApJ...646..505B target=ref> Butler et al. 2006 </a>	1996	<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=1997ApJ...483..457C target=ref> Cochran et al. 1997 </a>	Ground	Multiple Observatories	Multiple Telescopes	Multiple Instruments	3	0	60	38	http://exoplanet.eu/catalog/16_cyg_b_b/	http://exoplanets.org/detail/16_Cyg_B_b	1997-07	HD 186427	HIP 96901	19.7	83.34	13.2	321.22	69.47		-132	-163	209.7	-28.1	4.25	G2.5 V	4.36			0.04	[Fe/H]		2.18	0.15	-5.08			5	0	1	4	0	4	3	7.07	6.25	6.91			4.99	4.7	4.65	4.77	4.57	4.93	4.71					4.694e+00	4.362e+00						27	0.21	0.66			0.3	0.04	0.34	0.42	0.22	0.35	17
6	18 Del	b	Radial Velocity	1	993.3	2.6	0.08		10.3	Msini			0	0	0	0	20h58m25.94s	314.61	+10d50m21.4s	10.84	73.1			4979	2.3	8.5	2014-05-14	18 Del b	0	1	0	0	0	0	2451672	166.1	119.4				10.3		3273.5	3273.5											<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2008PASJ...60..539S target=ref> Sato et al. 2008 </a>	2008	<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2008PASJ...60..539S target=ref> Sato et al. 2008 </a>	Ground	Okayama Astrophysical Observatory	1.88 m Telescope	HIDES Echelle Spectrograph	3	0	24	19	http://exoplanet.eu/catalog/18_del_b/	http://exoplanets.org/detail/18_Del_b	2008-06	HD 199665	HIP 103527	20.97	58.69	-21.97	320.59	26.79	13.68	-49.5	-35.1	60.7		4.6	G6 III	2.82	1.6		-0.05	[Fe/H]							2	0	1	1	0	3	0			6.43			4.03	3.44	3.37	3.37	2.93	3.36	3.31								2.911e+00	2.852e+00	1.184e+00	-9.560e-01	17		0.92			0.59	0.07	0.67				5
7	1RXS J160929.1-210524	b	Imaging	1		330			8	Mass			0	0	0	0	16h09m30.30s	242.38	-21d04m58.9s	-21.08	145			4060	0.85		2015-04-01	1RXS J160929.1-210524 b	0	0	1	0	0	0				1700		8		3000		3000											<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015ApJ...802...61L target=ref>Lachapelle et al. 2015</a>	2008	<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2008ApJ...689L.153L target=ref> Lafreniere et al. 2008 </a>	Ground	Gemini Observatory	8.19 m Gemini North Telescope	NIRI Camera	3	0	22	7	http://exoplanet.eu/catalog/1rxs1609_b/		2008-12			16.16	352.89	22.03	244.37	-0.07						5.7	K7 V		-0.37				0.01						0	0	0	0	0	3	0						9.82	9.12	8.92	8.79	8.79	8.68	8.53												7					0.7	0.21	0.9				3
8	24 Sex	b	Radial Velocity	2	452.8	1.33	0.09		1.99	Msini			0	0	0	0	10h23m28.37s	155.87	-00d54m08.1s	-0.9	74.79	6.44	V (Johnson)	5098	1.54	4.9	2014-05-14	24 Sex b	0	1	0	0	0	0	2454762	9.2	40				1.99		632.46	632.46											<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2010arXiv1007.4552J target=ref> Johnson et al. 2010 </a>	2010	<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2010arXiv1007.4552J target=ref> Johnson et al. 2010 </a>	Ground	Lick Observatory	3.0 m C. Donald Shane Telescope	Hamilton Echelle Spectrograph	3	0	17	16	http://exoplanet.eu/catalog/24_sex_b/	http://exoplanets.org/detail/24_Sex_b	2011-01	HD 90043	HIP 50887	10.39	245.09	44.72	157.99	-10.2	13.37	65.7	-35.1	74.5		5	K0 IV	3.5	1.16		-0.03	[Fe/H]	2.7	2.77					3	0	1	2	0	3	1		6.44	7.4			5.29	4.49	4.29	4.09	3.6	4.25	4.2								3.803e+00	2.555e+00	1.102e+00	-9.160e-01	16		0.96			0.81	0.2	1.01	0.57	0.34	0.43	8
9	24 Sex	c	Radial Velocity	2	883	2.08	0.29		0.86	Msini			0	0	0	0	10h23m28.37s	155.87	-00d54m08.1s	-0.9	74.79	6.44	V (Johnson)	5098	1.54	4.9	2014-05-14	24 Sex c	0	1	0	0	0	0	2454930	220.5	14.5				0.86		273.32	273.32											<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2010arXiv1007.4552J target=ref> Johnson et al. 2010 </a>	2010	<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2010arXiv1007.4552J target=ref> Johnson et al. 2010 </a>	Ground	Lick Observatory	3.0 m C. Donald Shane Telescope	Hamilton Echelle Spectrograph	3	0	17	16	http://exoplanet.eu/catalog/24_sex_c/	http://exoplanets.org/detail/24_Sex_c	2011-01	HD 90043	HIP 50887	10.39	245.09	44.72	157.99	-10.2	13.37	65.7	-35.1	74.5		5	K0 IV	3.5	1.16		-0.03	[Fe/H]	2.7	2.77					3	0	1	2	0	3	1		6.44	7.4			5.29	4.49	4.29	4.09	3.6	4.25	4.2								3.803e+00	2.555e+00	1.102e+00	-9.160e-01	16		0.96			0.81	0.2	1.01	0.57	0.34	0.43	8
10	2MASS J01225093-2439505	b	Imaging	1		52			24.5	Mass			0	0	0	0	01h22m50.94s	20.71	-24d39m50.6s	-24.66	36	14.24	V (Johnson)	3530	0.4		2014-05-14	2MASS J01225093-2439505 b	0	0	1	0	0	0						24.5		7786.5		7786.5											<a href=http://adsabs.harvard.edu/abs/2013ApJ...774...55B target=ref> Bowler et al. 2013 </a>	2013	<a href=http://adsabs.harvard.edu/abs/2013ApJ...774...55B target=ref> Bowler et al. 2013 </a>	Ground	W. M. Keck Observatory	10 m Keck II Telescope	NIRC2 Camera	3	0	7	5	http://exoplanet.eu/catalog/2m_0122-2439_b/		2013-08			1.38	195.45	-82.52	8.62	-30.71					9.6	6.35	M3.5 V		-1.72				0.12						0	0	0	0	0	3	0		14.24				10.08	9.47	9.2	9.02	8.86	8.75	8.3												8					0.61	0.27	0.89				3
